AGENT_NAVN	AGENT_NR
Posten Bring, Avd. Oslo	1000
Posten Norge AS, avd. Fredrikstad	1700
Posten Bring, Avd. Kongsvinger	2200
Posten Bring, Avd. Hamar	2380
Posten Bring, avd. Drammen	3000
Posten Bring, Avd. Stokke	3200
Posten Bring, avd. Gol	3550
Posten Bring, avd. Stavanger	4033
Posten Bring, Avd. Kristiansand	4600
Posten Bring, Avd. Bergen	5000
Posten Bring, Avd. Haugesund	5500
Posten Bring, Avd. Ålesund	6003
Posten Bring, Avd. Molde	6401
Posten Bring, Avd. Måløy	6700
Posten Bring, avd. Førde	6800
Bring Frigo AS, avd. Stryn	6880
Posten Bring, Avd. Trondheim	7000
Posten Bring, avd. Røros	7374
Posten Bring, Avd. Bodø	8000
Posten Norge avd. Svolvær	8371
Posten Norge, avd. Sortland	8403
Posten Norge AS	8502
Posten Bring, avd. Narvik	8510
Posten Bring, Avd. Mo i Rana	8642
Posten Bring, avd. Sandnessjøen	8800
Posten Bring, avd. Brønnøysund	8910
Posten Bring, avd. Tromsø	9000
Posten Bring, avd. Harstad	9400
Posten Bring, avd. Alta	9510
Posten Bring, avd. Tana	9846
Posten Bring, avd. Kirkenes	9910
