PROD;PRODUKTKODE;prodkat
A-/B-POST;A-/B-POST;brev
A-POST;A-POST;brev
ALL PAKKEPOST;ALL-PAKKE;pakke
ALL POST;ALL-POST;brev
BREVPOST INKL. AVIS/BLAD;BREVPOST;brev
REK/VERDIPOST;REK/VERDI;brev
AVIS;AVIS;annet
B-POST;B-POST;brev
BEDRIFTSPAKKE;BEDR-PAKKE;pakke
BP EKSPRESS OVER NATT;BP-0900;pakke
CONSIGNMENT;CONSIGN;pakke
DR-PRODUKTER;DR-PRODUKT;annet
EMS;EMS;pakke
INTERN VERDIPOST;INT-VERDI;annet
PAKKEPOST;PAKKEPOST;pakke
POSTEN EKSPRESS OVER NATTEN;EKSPR-NATT;pakke
POSTENS PALLELASTER;PALLELAST;stdg
POSTKASSETØMMING RØD (TRANSPORT);POSTK-RØD;brev
STYKKGODS;STK-G;stdg
TOM;TOM;tom
TOMGODS;TOMGODS;tom
TOMSEKKER;TOMSEKKER;tom
MELDESEDLER/ADRESSEKORT;MELDE/ADRK;annet
TOMKASSETTER;TOMKASSETT;tom
BLAD;BLAD;annet
INTERN TRANSPORT EKSTERNE KUNDER;INT-TR-EKST;annet
INTERNPOST (IKKE POSTALE PRODUKT);INTERNPOST;annet
BEDRIFTSPAKKE POSTKONTOR;BEDRPK-PKTR;pakke
FØR 07;FØR 07;stdg_tidl
NOR-CARGO BEDRIFTSPAKKE;NC BEDR. PK;pakke
HJEMLEVERING PROSJEKT;HJE-PROSJ;pakke
PARTILAST BRING CARGO;PARTI-BC;parti
USPESIFISERT INTERN TRANSPORT;INT-USPES;annet
POSTKASSETØMMING GUL (TRANSPORT);POSTK-GUL;brev
FØR 7;FØR 7;stdg_tidl
BEDRIFTSPAKKE DØR - DØR UTLAND;BP-D-D-UTL;pakke
CONTAINER;BEDRIFTSPAKKE;pakke
MG_DEPOTPOST (TRANSPORT);MG_DEPOTP-T;brev
HJEMKJØRING;HJEMKJØR;pakke
SØPPEL;SØPPEL;soppel
HOME DELIVERY PARCEL;HD;pakke
