searchName;relationNumber;nameLine1;nameLine2;nameLine3;addressLine1;addressLine2;addressLine3;postalCode;city;countryCode;subentityCode;postOfficeBox;postOfficeBoxPostalcode;postOfficeBoxCity;postOfficeBoxCountry;telephoneNumber;telefaxNumber;emailAddress;internetAddress;contactPerson;typeOfRelation;currencyCode;vatCode;languageCode;relationGroup;paymentTerm;creditLimit;vatNumberOrg;vatNumber
NOAHLSELLNOBODO0001;11696;Ahlsell Norge AS;express Bodø-Alta;;Per Helgesensvei 99;;;8013;BODØ;NO;;;;;;;;;;;1;;0;;1;;;910478656;NO910478656
NOBAASCOMPOLILLE0001;1006311;Baas Component As;-;;Sophie Radichs Vei 21 ;;;2003;Lillestrøm;NO;;;;;;;;;;;1;;0;;1;;;940225663;NO940225663
NOANTRAASLILLE0001;1013036;Antra As;-;;Sophie Radichs Vei 1 ;;;2003;Lillestrøm;NO;;;;;;;;;;;1;;0;;1;;;955455770;NO955455770
NOAKTIVTRYKOSLO0001;1015783;Aktiv Trykk AS;-;;Professor Birkelands V 26 B;;;1081;Oslo;NO;;;;;;;;;;;1;;0;;1;;;910108751;NO910108751
NOASAUTOMAXOSLO0001;1017854;As Automax;-;;Postboks 24 Oppsal  ;;;0619;Oslo;NO;;;;;;;;;;;1;;0;;1;;;933913953;NO933913953
NOASHOYERSOSLO0001;1022425;As Høyers;-;;Stålfjæra 20 ;;;0975;OSLO;NO;;;;;;;;;;;1;;0;;1;;;930250678;NO930250678
NOAMOBLERASOSLO0002;1025972;A-Møbler As;-;;Postboks 67 Alnabru;;;0614;OSLO;NO;;;;;;;;;;;1;;0;;1;;;910082620;NO910082620
NOASSAABLOYOSLO0001;1026301;Assa Abloy Entrance Systems Norway ;-;;Postboks 96 Alnabru;;;0614;OSLO;NO;;;;;;;;;;;1;;0;;1;;;919496126;NO919496126
NOAUTOTRIOAOSLO0001;1026566;Auto-Trio AS;-;;Postboks 123 Alnabru  ;;;0614;Oslo;NO;;;;;;;;;;;1;;0;;1;;;910357905;NO910357905
NOAUTOMATIKOSLO0001;1037233;Automatikk Montasje As;-;;Norderhovgata 37 ;;;0654;Oslo;NO;;;;;;;;;;;1;;0;;1;;;933144178;NO933144178
