ENHETVAKT;Navn 4. ledd;Beskrivelse;Column1;Column2;Column3
972120;972120;Fredrikstad Transport Distr.;1009;Fredrikstad Distribusjon;105892
221729;221729;DD Sarpsborg D.Enhet;1009;Fredrikstad Distribusjon;105892
221706;221706;DD Moss D.Enhet 2;1009;Fredrikstad Distribusjon;105892
221708;221708;DD Fredrikstad D.Enhet 2;1009;Fredrikstad Distribusjon;105892
221709;221709;DD Halden D.Enhet;1009;Fredrikstad Distribusjon;105892
221713;221713;DD Moss D.Enhet 1;1009;Fredrikstad Distribusjon;105892
221720;221720;DD Sarpsborg D.Enhet 2;1009;Fredrikstad Distribusjon;105892
221721;221721;DD Mysen D.Enhet;1009;Fredrikstad Distribusjon;105892
221724;221724;DD Askim D.Enhet;1009;Fredrikstad Distribusjon;105892
992015;992015;Fredrikstad Transport Linje;1009;Fredrikstad Distribusjon;105892
971050;971050;Fredrikstad Transport Varebil;1009;Fredrikstad Distribusjon;105892
214708;214708;DD Gjøvik D.Enhet 2;1027;Hamar Distribusjon;101720
210710;210710;DD Elverum D.Enhet;1027;Hamar Distribusjon;101720
210714;210714;DD Ringsaker D.Enhet;1027;Hamar Distribusjon;101720
214701;214701;DD Lillehammer D.Enhet 1;1027;Hamar Distribusjon;101720
214712;214712;DD Land og Valdres D.Enhet;1027;Hamar Distribusjon;101720
210722;210722;DD Moelv D.Enhet;1027;Hamar Distribusjon;101720
214715;214715;DD Gjøvik D.Enhet 3;1027;Hamar Distribusjon;101720
214761;214761;DD Lom D.Punkt;1027;Hamar Distribusjon;101720
210727;210727;DD Nord-Østerdal D.Enhet;1027;Hamar Distribusjon;101720
210729;210729;DD Rena D.Punkt;1027;Hamar Distribusjon;101720
214705;214705;DD Vinstra D.Enhet;1027;Hamar Distribusjon;101720
210724;210724;DD Hamar D.Enhet 3;1027;Hamar Distribusjon;101720
214713;214713;DD Dokka D.Enhet;1027;Hamar Distribusjon;101720
210728;210728;DD Solør D.Punkt;1027;Hamar Distribusjon;101720
972220;972220;Hamar Transport 1;1027;Hamar Distribusjon;101720
214702;214702;DD Lillehammer D.Enhet 2;1027;Hamar Distribusjon;101720
214703;214703;DD Lillehammer D.Enhet 3;1027;Hamar Distribusjon;101720
214760;214760;DD Ringebu D.Punkt;1027;Hamar Distribusjon;101720
214707;214707;DD Gjøvik D.Enhet 1;1027;Hamar Distribusjon;101720
214704;214704;DD Otta D.Enhet;1027;Hamar Distribusjon;101720
210726;210726;DD Trysil D.Enhet;1027;Hamar Distribusjon;101720
210762;210762;DD Koppang D.Punkt;1027;Hamar Distribusjon;101720
214515;214515;DD Dombås D.Punkt;1027;Hamar Distribusjon;101720
972221;972221;Hamar Bedriftspakker;1027;Hamar Distribusjon;101720
101933;101933;Hamar Transport Gods;1027;Hamar Distribusjon;101720
181791;181791;Oslo Transport Varebil 1;1002;Oslo Distribusjon;101274
971110;971110;Oslo Transport Lastebil 1;1002;Oslo Distribusjon;101274
971130;971130;Oslo Transport Lastebil 3;1002;Oslo Distribusjon;101274
