Dept;Description;Cost centre;Division;Branch;TermRel;Term;Short
1001;Oslo Line haul/Direct;101275;10;1001;NOPOSTENOSLO01;TNOOSL;OSL
1002;Oslo Distribusjon;101274;10;1001;NOPOSTENOSLO01;TNOOSL;OSL
1003;Oslo Linjetrafikker/24/7;101275;10;1001;NOPOSTENOSLO01;TNOOSL;OSL
1004;Bergen Gods Line haul/Direct;101320;10;1002;NOPOSTENBERGE01;TNOBGO1;BGO1
1005;Bergen Gods Distribusjon;101318;10;1002;NOPOSTENBERGE01;TNOBGO1;BGO1
1006;Stokke Line haul/Direct;101721;10;1003;NOPOSTENSTOKK01;TNOSTK;STK
1007;Stokke Distribusjon;101721;10;1003;NOPOSTENSTOKK01;TNOSTK;STK
1008;Fredrikstad Line haul/Direct;105893;10;1004;NOPOSTENFREDR01;TNOFRK;FRK
1009;Fredrikstad Distribusjon;105892;10;1004;NOPOSTENFREDR01;TNOFRK;FRK
1010;Kristiansand Line haul/Direct;101727;10;1005;NOPOSTENKRIST01;TNOKRS;KRS
1011;Kristiansand Distribusjon;101727;10;1005;NOPOSTENKRIST01;TNOKRS;KRS
1012;Drammen Line haul/Direct;101276;10;1006;NOPOSTENDRAMM01;TNODRM;DRM
1013;Drammen Distribusjon;101276;10;1006;NOPOSTENDRAMM01;TNODRM;DRM
1014;Stavanger Line haul/Direct;101342;10;1007;NOPOSTENSTAVA01;TNOSVG;SVG
1015;Stavanger Distribusjon;101342;10;1007;NOPOSTENSTAVA01;TNOSVG;SVG
1016;Haugesund Line haul/Direct;101340;10;1008;NOPOSTENHAUGE01;TNOHAU;HAU
1017;Haugesund Distribusjon;101340;10;1008;NOPOSTENHAUGE01;TNOHAU;HAU
1018;Ålesund Line haul/Direct;101325;10;1009;NOPOSTENALESU01;TNOAES;AES
1019;Ålesund Distribusjon;101328;10;1009;NOPOSTENALESU01;TNOAES;AES
1020;Trondheim Line haul/Direct;101338;10;1010;NOPOSTENTROND01;TNOTRD;TRD
1021;Trondheim Distribusjon;101705;10;1010;NOPOSTENTROND01;TNOTRD;TRD
1022;Molde Line haul/Direct;101385;10;1011;NOPOSTENMOLDE01;TNOMOL;MOL
1023;Molde Distribusjon;101697;10;1011;NOPOSTENMOLDE01;TNOMOL;MOL
1024;Narvik Line haul/Direct;101762;10;1012;NOPOSTENNARVI01;TNONVK;NVK
1025;Narvik Distribusjon;101762;10;1012;NOPOSTENNARVI01;TNONVK;NVK
1026;Hamar Line haul/Direct;101720;10;1013;NOPOSTENHAMAR01;TNOHMR;HMR
1027;Hamar Distribusjon;101720;10;1013;NOPOSTENHAMAR01;TNOHMR;HMR
1028;Helgeland Line haul/Direct;106037;10;1014;NOPOSTENMOIRA01;TNOMQN;MQN
1029;Helgeland Distribusjon;106037;10;1014;NOPOSTENMOIRA01;TNOMQN;MQN
1030;Tromsø Gods Line haul/Direct;101292;10;1015;NOPOSTENTROMS01;TNOTOS1;TOS1
1031;Tromsø Gods Distribusjon;101292;10;1015;NOPOSTENTROMS01;TNOTOS1;TOS1
1032;Alta Line haul/Direct;101766;10;1016;NOPOSTENALTA01;TNOALF;ALF
1033;Alta Distribusjon;101766;10;1016;NOPOSTENALTA01;TNOALF;ALF
1034;Fauske Line haul/Direct;101301;10;1017;NOPOSTENFAUSK01;TNOFAU;FAU
1035;Fauske Distribusjon;101301;10;1017;NOPOSTENFAUSK01;TNOFAU;FAU
1036;Sogn og Fjordane Line haul/Direct;107093;10;1018;NOPOSTENFORDE01;TNOFDE;FDE
1037;Sogn og Fjordane Distribusjon;107093;10;1018;NOPOSTENFORDE01;TNOFDE;FDE
1038;Bergen Pakker Line haul/Direct;973320;10;1020;NOPOSTENBERGE02;TNOBGO2;BGO2
1039;Bergen Pakker Distribusjon;973320;10;1020;NOPOSTENBERGE02;TNOBGO2;BGO2
1040;Tromsø Pakker Distribusjon;101292;10;1021;NOPOSTENTROMS02;TNOTOS2;TOS2
1041;Oslo Thermo Domestic;106648;10;1001;NOPOSTENOSLO01;TNOOSL;OSL
1042;Oslo Thermo International;107498;10;1001;NOPOSTENOSLO01;TNOOSL;OSL
1043;Bergen Thermo;101320;10;1002;NOPOSTENBERGE01;TNOBGO1;BGO1
1044;Stokke Thermo;101721;10;1003;NOPOSTENSTOKK01;TNOSTK;STK
1045;Fredrikstad Thermo;105893;10;1004;NOPOSTENFREDR01;TNOFRK;FRK
1046;Kristiansand Thermo;101727;10;1005;NOPOSTENKRIST01;TNOKRS;KRS
1047;Drammen Thermo;101276;10;1006;NOPOSTENDRAMM01;TNODRM;DRM
1048;Stavanger Thermo;101342;10;1007;NOPOSTENSTAVA01;TNOSVG;SVG
1049;Haugesund Thermo;101340;10;1008;NOPOSTENHAUGE01;TNOHAU;HAU
1050;Ålesund Thermo;101325;10;1009;NOPOSTENALESU01;TNOAES;AES
1051;Trondheim Thermo;106660;10;1010;NOPOSTENTROND01;TNOTRD;TRD
1052;Molde Thermo;101385;10;1011;NOPOSTENMOLDE01;TNOMOL;MOL
1053;Narvik Thermo;101762;10;1012;NOPOSTENNARVI01;TNONVK;NVK
1054;Hamar Thermo;101720;10;1013;NOPOSTENHAMAR01;TNOHMR;HMR
1055;Helgeland Thermo;106037;10;1014;NOPOSTENMOIRA01;TNOMQN;MQN
1056;Tromsø Thermo;101835;10;1015;NOPOSTENTROMS01;TNOTOS1;TOS1
1057;Alta Thermo;101766;10;1016;NOPOSTENALTA01;TNOALF;ALF
1058;Fauske Thermo;101301;10;1017;NOPOSTENFAUSK01;TNOFAU;FAU
