ENHETVAKT	Beskrivelse	Dept i BluJay	Leggroup/Dept ORD	Template
992011	LSO Lastebil Kipp	1002	OSL	20181008100013
971160	OP Oslo og Akershus Lastebil 5	1002	OSL	20181008100013
101270	Oslo Lastebil avd.Kongsv. Trsp.	1002	OSL	20181008100013
971110	Oslo Transport Lastebil 1	1002	OSL	20181008100013
971120	Oslo Transport Lastebil 2	1002	OSL	20181008100013
971130	Oslo Transport Lastebil 3	1002	OSL	20181008100013
971140	Oslo Transport Lastebil 4	1002	OSL	20181008100013
971150	Oslo Transport Lastebil 5	1002	OSL	20181008100013
971180	Oslo Transport Lastebil 8	1002	OSL	20181008100013
992012	Oslo Transport Lastebil Linje	1002	OSL	20181008100013
181791	Oslo Transport Varebil 1	1002	OSL	20181008100013
181792	Oslo Transport Varebil 2	1002	OSL	20181008100013
181793	Oslo Transport Varebil 3	1002	OSL	20181008100013
181794	Oslo Transport Varebil 4	1002	OSL	20181008100013
181796	Oslo Transport Varebil 5	1002	OSL	20181008100013
971200	Oslo Transport Varebil 6	1002	OSL	20181008100013
971170	PTT Enhet Oslo 7	1002	OSL	20181008100013
501740	Bergen Pakker Bedriftspakker 1	1005	BGO	20181008100002
101218	Bergen Pakker Bedriftspakker 2	1005	BGO	20181008100002
101745	Bergen Pakker Bedriftspakker 3	1005	BGO	20181008100002
973310	Bergen Pakker Kjøpt Transport	1005	BGO	20181008100002
973321	Bergen Pakker Lastebil 1	1005	BGO	20181008100002
973322	Bergen Pakker Lastebil 2	1005	BGO	20181008100002
318704	Skien Bedriftspakker	1007	STK	20181008100014
972450	Skien Transport	1007	STK	20181008100014
972440	Stokke Bedriftspakker	1007	STK	20181008100014
992014	Stokke Transport (HPG)	1007	STK	20181008100014
101213	Stokke Transport 4	1007	STK	20181008100014
972120	Fredrikstad Transport Distr.	1009	FRK	20181008100006
992015	Fredrikstad Transport Linje	1009	FRK	20181008100006
971050	Fredrikstad Transport Varebil	1009	FRK	20181008100006
101182	Kristiansand Bedriftspakker	1011	KRS	20181008100009
973140	Kristiansand Lastebil	1011	KRS	20181008100009
101212	Drammen Bedriftspakker	1013	DRM	20181008100003
972320	Drammen Transport 1	1013	DRM	20181008100003
102688	Drammen Transport 3	1013	DRM	20181008100003
973227	Stavanger Bedriftspakker	1015	SVG	20181008100015
413718	Stavanger Bedriftspakker 1	1015	SVG	20181008100015
973210	Stavanger Kjøpt Transport	1015	SVG	20181008100015
973224	Stavanger Lastebil	1015	SVG	20181008100015
973225	Stavanger Lastebil 1	1015	SVG	20181008100015
101650	Haugesund Bedriftspakker	1017	HAU	20181008100007
974110	PTT Ålesund Kjøpt Transport	1019	AES	20181008100018
101328	Ålesund Distribusjon	1019	AES	20181008100018
974120	Ålesund Pakker Distribusjon	1019	AES	20181008100018
101695	Ålesund Pakker Linje	1019	AES	20181008100018
974230	Steinkjer Transport	1021	TRD	20181008100017
974221	Trondheim Linje 2	1021	TRD	20181008100017
974240	Trondheim Logistikk Distrib. 2	1021	TRD	20181008100017
613705	Trondheim Logistikk Distrib. 3	1021	TRD	20181008100017
974222	Trondheim Logistikk Distrib.1	1021	TRD	20181008100017
974130	Molde Lastebil	1023	MOL	20181008100010
974140	OP Molde Kjøpt Transport	1023	MOL	20181008100010
101739	Harstad Distribusjon	1025	NVK	20181008100012
974440	Harstad Linje	1025	NVK	20181008100012
974450	Narvik Linje	1025	NVK	20181008100012
101717	Narvik Transport 3	1025	NVK	20181008100012
972221	Hamar Bedriftspakker	1027	HMR	20181008100008
972220	Hamar Transport 1	1027	HMR	20181008100008
101933	Hamar Transport Gods	1027	HMR	20181008100008
101643	Helgeland Transport	1029	MQN	20181008100011
974425	Tromsø HD Distribusjon	1031	TOS	20181008100016
974420	Tromsø Transport	1031	TOS	20181008100016
105871	Tromsø Transport BP	1031	TOS	20181008100016
974480	Alta Distribusjon	1033	ALF	20181008100001
101659	Alta Gods Terminal	1033	ALF	20181008100001
101664	Alta HD Distribusjon	1033	ALF	20181008100001
974320	Fauske Distribusjon	1035	FAU	20181008100004
974030	Fauske HD Distribusjon	1035	FAU	20181008100004
101301	Fauske Kjøre/Ordre	1035	FAU	20181008100004
