searchName;relationNumber;nameLine1
ATCARGOWAYSKUFST0001;10003460;
ATENGELMAYEWELS0001;999900008;
ATFLUCKINGEVOLDE0001;10002154;
ATGENGLMAYEWELS0001;33364;
ATGENGLMAYEWELS0002;10002205;
ATINTERCARGKUFST0001;10005945;
ATSTARKINTTRADFE0001;10002246;
ATTOPLOGISTKUFST0001;10002203;
ATTRANSPEDEWORGL0001;10005771;
ATTRANSPORTGRIES0001;10003753;
ATVERTEXGMBKIRCH0001;10002798;
ATZUGVOGELSJENBA0001;10003761;
BEBRINGCARGMECH0001;999900009;
BEDFDSSEAWAGENT001;50657;
BGDELAMODEBSOFIA0001;6000009053;
BGDELAMODESOFI0001;999900010;
BJSDBM;21;
CHALBANYINTNEUHA0001;1035645;
CHSCHNEIDERBASEL0001;999999900015;
CHSCHNEIDERBASEL0002;10001706;
CHSTRECKMÖHL0001;999900011;
CHSTRECKTRAMOHLI0001;1023945;
CHSTRECKTRAMOHLI0002;50029;
CHTRANSEXBEMUNCH0001;10001885;
CYEUROAFRICLIMAS0001;10003916;
CYEUROAFRICLIMAS001;51005411;
CZHRUBYMOVIPRAHA0001;19600;
CZHRUBYMOVIPRAHA0002;999999900001;
CZHRUBYMOWIKOZO0001;999900012;
CZTRANSCONSPRAHA0001;25759957;
DEBAKERHUGHCELLE0000;20000005825;
DEBREMERLOGNORDE0000;10003359;
DECOLORLINEKIEL0000;10002239;
DEDACHSERSEKEMPT0000;20000004075;
DEELVISAGAZENA0000;10003653;
DEEMSLANDSTHAGEN0000;10032955196;
DEGONDRANDALUDWI0001;999999900006;
DEGONDRANDALUDWI0002;10002234;
DEHANSAHEAVHAMBU0000;20000000388;
DEHEINRICHKOSNAB0000;20000031268;
DEHEINRICHSLANGE0001;10005901;
DEHEINRICHSLANGE0002;999999900005;
DEHOLGERSMIHARRI0001;10001733;
DEICOLLECTGAHREN0000;20000003986;
DEJOSEFHEUEMEINE0000;20000007631;
DEKSSGMBHBADSC0001;10007244;
DEKUHLFRACHISNYA0000;20000003978;
DEKUHNENAGEDORTM0000;10002158;
DEKUHNENAGEHAGEN0001;50006;
